p_adx_min,p_macd_hist_min,p_rsi_oversold,p_rsi_overbought,p_atr_regime_ratio,p_enable_momentum_entry,p_cooldown_bars,p_allow_overlap,p_allow_reverse,p_stop_loss_atr,p_trail_activation_atr,p_trail_distance_atr,p_take_profit_atr,p_breakeven_atr,p_leverage,p_margin_pct,p_reduced_margin_pct,p_dd_soft_pct,p_dd_halt_pct,p_dd_resume_pct,trades,wr,pf,sharpe,roi,dd,consecL,halt_bars
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,3,0.25,0.125,12.0,100.0,100.0,1953,60.72708653353814,1.7465178572116087,4.346743410680749,290887.32504462934,14.826965581320012,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,3,0.25,0.125,12.0,20.0,12.0,1953,60.72708653353814,1.7465178572116087,4.346743410680749,290887.32504462934,14.826965581320012,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,5,0.15,0.075,12.0,15.0,8.0,1953,60.72708653353814,1.7465178572116087,4.346743410680749,290887.32504462934,14.826965581320012,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,5,0.15,0.075,12.0,20.0,12.0,1953,60.72708653353814,1.7465178572116087,4.346743410680749,290887.32504462934,14.826965581320012,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,5,0.25,0.125,12.0,15.0,8.0,410,56.82926829268292,1.3673755542416157,0.8797447886059425,393.3098505723666,15.092493217837932,5,42362
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,5,0.25,0.125,8.0,15.0,8.0,1335,60.149812734082396,1.9898157041107445,2.736830867713296,341349.7957370732,15.107212263730396,7,16503
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,7,0.25,0.125,8.0,15.0,8.0,116,55.172413793103445,1.3986738423715994,0.4089963256290931,66.71630092119621,15.144725766920406,4,49692
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,7,0.15,0.075,8.0,15.0,8.0,1344,59.970238095238095,1.9149919200141476,2.8073419465833407,124545.881257017,15.510884001608751,7,16333
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,7,0.15,0.075,8.0,20.0,12.0,1953,60.72708653353814,1.7169186604768543,4.0489150809288565,3588657.5714295767,15.604886848951368,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,7,0.15,0.075,8.0,100.0,100.0,1953,60.72708653353814,1.7169186604768543,4.0489150809288565,3588657.5714295767,15.604886848951368,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,7,0.15,0.075,12.0,15.0,8.0,1335,60.149812734082396,1.9064905239944843,2.834493178652436,167384.4608985282,15.649643081947548,7,16503
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,7,0.25,0.125,12.0,15.0,8.0,29,44.827586206896555,0.792701076062236,-0.40824829046386296,-9.263949383528216,15.974474870278755,3,51708
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,5,0.25,0.125,8.0,100.0,100.0,1953,60.72708653353814,1.6697394904716403,3.886690701875481,16144914.63341235,17.42864964522468,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,5,0.25,0.125,8.0,20.0,12.0,1953,60.72708653353814,1.6697394904716403,3.886690701875481,16144914.63341235,17.42864964522468,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,7,0.15,0.075,12.0,100.0,100.0,1953,60.72708653353814,1.6900928472326775,4.129809259003082,5464072.514850172,17.581776449464527,7,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,7,0.15,0.075,12.0,20.0,12.0,1953,60.72708653353814,1.6900928472326775,4.129809259003082,5464072.514850172,17.581776449464527,7,0
